direction,M,query_id,nearest_positive_ringkey_rank,exhaustive_sc_first_positive_rank,nearest_positive_distance_m,heading_difference_deg
r1_r3,10,1281,317,1,1.2865611358414264,178.15356231302258
r1_r3,10,1286,78,1,1.457137876597836,175.077152741387
r1_r3,10,1300,28,1,1.529404522455311,168.8446100401385
r1_r3,10,1376,27,1,1.224997390977706,179.29965520815688
r1_r3,10,1459,871,1,3.2115796676767387,179.4418978472637
r1_r3,10,1460,427,1,3.2272415906611656,179.1419330131211
r1_r3,10,1461,559,1,3.247779389915382,178.56414332633165
r1_r3,10,1462,251,1,3.258020010307904,178.6933455503957
r1_r3,10,1463,473,1,3.2569431402125666,178.41063437809987
r1_r3,10,1464,503,1,3.287409204575139,178.05657120344506
r1_r3,10,1465,470,1,3.3045835498893448,177.74692794730845
r1_r3,10,1466,183,1,3.31942648155547,177.3080867292602
r1_r3,10,1467,506,1,3.3374552927645005,177.89693297106345
r1_r3,10,1468,747,1,3.366462314643739,177.832784533405
r1_r3,10,1469,145,1,3.388425827094454,177.9802129484666
r1_r3,10,1470,132,1,3.395739491542655,179.52904792825746
r1_r3,10,1471,192,1,3.3933365337839008,179.27669985493793
r1_r3,10,1472,61,1,3.409647822141808,178.51405455394718
r1_r3,10,1475,76,1,3.4145435542111087,179.60354585531968
r1_r3,10,1476,305,1,3.4225601157498677,179.67953718701256
r1_r3,10,1477,79,1,3.444809220039698,179.80995562172956
r1_r3,10,1478,11,1,3.4433024000911936,179.97188005893207
r1_r3,10,1479,72,1,3.4209281800386386,178.25925642393463
r1_r3,10,1480,69,1,3.3583529471121545,176.7631390638598
r1_r3,10,1490,168,1,3.423781523183933,179.6379616922975
r1_r3,10,1491,20,1,3.418144130422173,179.55572032435782
r1_r3,10,1492,453,1,3.3933572812064625,178.35898718310648
r1_r3,10,1493,768,1,3.3763072241098304,178.63355092988772
r1_r3,10,1494,249,1,3.375967945772531,179.06506435767471
r1_r3,10,1495,269,1,3.351692673546541,178.9826185862434
r1_r3,10,1496,587,1,3.3315533855236366,178.72185584157566
r1_r3,10,1497,463,1,3.3156453177093597,178.9216619893537
r1_r3,10,1498,520,1,3.2950357738308815,178.89138387713717
r1_r3,10,1499,361,1,3.2856782796610275,179.34178883639353
r1_r3,10,1500,995,1,3.286488351396743,179.6488814569437
r1_r3,10,1501,2353,1,3.287648719557149,178.20605754375762
r1_r3,10,1502,1379,1,3.2699427503016993,178.8635121454128
r1_r3,10,1503,104,1,3.2544157596717658,179.5596323429025
r1_r3,10,1504,130,1,3.2582319818181382,179.00753766610228
r1_r3,10,1509,198,1,3.3710272642594155,179.91123489613165
r1_r3,10,1510,58,1,3.362612384824304,179.98862326383005
r1_r3,10,1511,996,1,3.3750382807976433,178.28593391452608
r1_r3,10,1512,116,1,3.3628191013770103,178.77632176025742
r1_r3,10,1651,35,1,1.9972371944223564,177.0125735553641
r1_r3,10,1758,502,1,0.34502578233871717,179.9381267798866
r1_r3,10,1759,499,1,0.1353617785060916,179.79731202309438
r1_r3,10,1766,189,1,0.23499484930129394,173.76351559681802
r1_r3,10,1845,53,1,3.003362464593089,61.88084551875653
r1_r3,10,1846,131,1,3.5192636082137194,64.30462829025294
r1_r3,10,1847,153,21,4.138408933958821,74.24498435871462
r1_r3,10,1848,94,125,4.714630710468842,75.76908360535744
r1_r3,10,1849,315,467,4.99423520616863,76.44525336184562
r1_r3,20,220,274,1,3.002051286478195,1.5821965580326776
r1_r3,20,221,253,1,2.953630040291073,2.4863548128297737
r1_r3,20,223,46,1,2.8990338838445195,2.243443568953438
r1_r3,20,224,156,1,2.893468394407943,1.6130535018681371
r1_r3,20,225,359,1,2.8813850075286376,1.2523400286754338
r1_r3,20,226,363,1,2.856078541395691,1.464714172823392
r1_r3,20,229,45,1,2.8324394533957826,0.1475328419486459
r1_r3,20,230,60,1,2.844954192309277,1.2469542663960738
r1_r3,20,304,423,1,3.8524221114130603,76.6682617887962
r1_r3,20,305,488,4,4.654265855304922,79.53572830729397
r1_r3,20,324,356,1,3.8135483764077196,113.1376018336914
r1_r3,20,328,23,1,2.439664785575348,112.61350068950316
r1_r3,20,346,25,1,2.4427546457921547,112.84042174245366
r1_r3,20,348,24,1,2.444270559981408,112.86950445655248
r1_r3,20,352,22,1,2.4442876280497963,112.92099157892295
r1_r3,20,355,25,1,2.4410155582429094,112.95490226270772
r1_r3,20,362,23,1,2.4417779059838067,113.04000902259645
r1_r3,20,369,22,1,2.417463640463575,113.06803417045546
r1_r3,20,403,86,1,1.3409197436850575,0.7938808529715118
r1_r3,20,817,570,1,0.6462390729245904,179.91586288688188
r1_r3,20,818,555,1,0.634822792571859,178.97626241668775
r1_r3,20,1233,98,1,2.4439238198287048,172.1821733984906
r1_r3,20,1234,53,1,2.506421386739156,171.26061947009504
r1_r3,20,1235,108,1,2.579965060352784,168.02730023134
r1_r3,20,1236,265,1,2.597202807462769,168.03025655901865
r1_r3,20,1237,121,1,2.6354401876643756,167.9251095477199
r1_r3,20,1238,207,1,2.7031172958067344,167.86000778331413
r1_r3,20,1239,296,1,2.7289760547549733,167.82367531653892
r1_r3,20,1243,129,2,2.860265615109609,174.67880448160201
r1_r3,20,1246,80,1,2.8489199845915953,179.1860060716729
r1_r3,20,1247,157,1,2.812426296583202,178.69904853329479
r1_r3,20,1276,83,5,1.3804524833684297,174.83528689077608
r1_r3,20,1277,166,9,1.3637843136748475,176.3227744442737
r1_r3,20,1280,169,11,1.314526290407783,179.02813812846614
r1_r3,20,1281,317,1,1.2865611358414264,178.15356231302258
r1_r3,20,1459,871,1,3.2115796676767387,179.4418978472637
r1_r3,20,1460,427,1,3.2272415906611656,179.1419330131211
r1_r3,20,1461,559,1,3.247779389915382,178.56414332633165
r1_r3,20,1462,251,1,3.258020010307904,178.6933455503957
r1_r3,20,1463,473,1,3.2569431402125666,178.41063437809987
r1_r3,20,1464,503,1,3.287409204575139,178.05657120344506
r1_r3,20,1465,470,1,3.3045835498893448,177.74692794730845
r1_r3,20,1466,183,1,3.31942648155547,177.3080867292602
r1_r3,20,1467,506,1,3.3374552927645005,177.89693297106345
r1_r3,20,1468,747,1,3.366462314643739,177.832784533405
r1_r3,20,1469,145,1,3.388425827094454,177.9802129484666
r1_r3,20,1470,132,1,3.395739491542655,179.52904792825746
r1_r3,20,1471,192,1,3.3933365337839008,179.27669985493793
r1_r3,20,1472,61,1,3.409647822141808,178.51405455394718
r1_r3,20,1475,76,1,3.4145435542111087,179.60354585531968
r1_r3,20,1476,305,1,3.4225601157498677,179.67953718701256
r1_r3,20,1477,79,1,3.444809220039698,179.80995562172956
r1_r3,20,1480,69,1,3.3583529471121545,176.7631390638598
r1_r3,20,1490,168,1,3.423781523183933,179.6379616922975
r1_r3,20,1492,453,1,3.3933572812064625,178.35898718310648
r1_r3,20,1493,768,1,3.3763072241098304,178.63355092988772
r1_r3,20,1494,249,1,3.375967945772531,179.06506435767471
r1_r3,20,1495,269,1,3.351692673546541,178.9826185862434
r1_r3,20,1496,587,1,3.3315533855236366,178.72185584157566
r1_r3,20,1497,463,1,3.3156453177093597,178.9216619893537
r1_r3,20,1498,520,1,3.2950357738308815,178.89138387713717
r1_r3,20,1499,361,1,3.2856782796610275,179.34178883639353
r1_r3,20,1500,995,1,3.286488351396743,179.6488814569437
r1_r3,20,1501,2353,1,3.287648719557149,178.20605754375762
r1_r3,20,1502,1379,1,3.2699427503016993,178.8635121454128
r1_r3,20,1503,104,1,3.2544157596717658,179.5596323429025
r1_r3,20,1504,130,1,3.2582319818181382,179.00753766610228
r1_r3,20,1509,198,1,3.3710272642594155,179.91123489613165
r1_r3,20,1511,996,1,3.3750382807976433,178.28593391452608
r1_r3,20,1845,53,1,3.003362464593089,61.88084551875653
r1_r3,20,1846,131,1,3.5192636082137194,64.30462829025294
r1_r3,20,1847,153,21,4.138408933958821,74.24498435871462
r1_r3,20,1848,94,125,4.714630710468842,75.76908360535744
r1_r3,20,1849,315,467,4.99423520616863,76.44525336184562
r1_r3,50,224,156,1,2.893468394407943,1.6130535018681371
r1_r3,50,225,359,1,2.8813850075286376,1.2523400286754338
r1_r3,50,226,363,1,2.856078541395691,1.464714172823392
r1_r3,50,305,488,4,4.654265855304922,79.53572830729397
r1_r3,50,324,356,1,3.8135483764077196,113.1376018336914
r1_r3,50,403,86,1,1.3409197436850575,0.7938808529715118
r1_r3,50,817,570,1,0.6462390729245904,179.91586288688188
r1_r3,50,1235,108,1,2.579965060352784,168.02730023134
r1_r3,50,1236,265,1,2.597202807462769,168.03025655901865
r1_r3,50,1237,121,1,2.6354401876643756,167.9251095477199
r1_r3,50,1238,207,1,2.7031172958067344,167.86000778331413
r1_r3,50,1239,296,1,2.7289760547549733,167.82367531653892
r1_r3,50,1243,129,2,2.860265615109609,174.67880448160201
r1_r3,50,1246,80,1,2.8489199845915953,179.1860060716729
r1_r3,50,1276,83,5,1.3804524833684297,174.83528689077608
r1_r3,50,1277,166,9,1.3637843136748475,176.3227744442737
r1_r3,50,1459,871,1,3.2115796676767387,179.4418978472637
r1_r3,50,1460,427,1,3.2272415906611656,179.1419330131211
r1_r3,50,1461,559,1,3.247779389915382,178.56414332633165
r1_r3,50,1462,251,1,3.258020010307904,178.6933455503957
r1_r3,50,1463,473,1,3.2569431402125666,178.41063437809987
r1_r3,50,1464,503,1,3.287409204575139,178.05657120344506
r1_r3,50,1465,470,1,3.3045835498893448,177.74692794730845
r1_r3,50,1466,183,1,3.31942648155547,177.3080867292602
r1_r3,50,1467,506,1,3.3374552927645005,177.89693297106345
r1_r3,50,1468,747,1,3.366462314643739,177.832784533405
r1_r3,50,1469,145,1,3.388425827094454,177.9802129484666
r1_r3,50,1470,132,1,3.395739491542655,179.52904792825746
r1_r3,50,1471,192,1,3.3933365337839008,179.27669985493793
r1_r3,50,1476,305,1,3.4225601157498677,179.67953718701256
r1_r3,50,1492,453,1,3.3933572812064625,178.35898718310648
r1_r3,50,1493,768,1,3.3763072241098304,178.63355092988772
r1_r3,50,1494,249,1,3.375967945772531,179.06506435767471
r1_r3,50,1495,269,1,3.351692673546541,178.9826185862434
r1_r3,50,1496,587,1,3.3315533855236366,178.72185584157566
r1_r3,50,1497,463,1,3.3156453177093597,178.9216619893537
r1_r3,50,1498,520,1,3.2950357738308815,178.89138387713717
r1_r3,50,1499,361,1,3.2856782796610275,179.34178883639353
r1_r3,50,1500,995,1,3.286488351396743,179.6488814569437
r1_r3,50,1501,2353,1,3.287648719557149,178.20605754375762
r1_r3,50,1502,1379,1,3.2699427503016993,178.8635121454128
r1_r3,50,1503,104,1,3.2544157596717658,179.5596323429025
r1_r3,50,1504,130,1,3.2582319818181382,179.00753766610228
r1_r3,50,1511,996,1,3.3750382807976433,178.28593391452608
r1_r3,50,1847,153,21,4.138408933958821,74.24498435871462
r1_r3,50,1848,94,125,4.714630710468842,75.76908360535744
r1_r3,50,1849,315,467,4.99423520616863,76.44525336184562
r1_r3,100,225,359,1,2.8813850075286376,1.2523400286754338
r1_r3,100,305,488,4,4.654265855304922,79.53572830729397
r1_r3,100,324,356,1,3.8135483764077196,113.1376018336914
