query_keyframe_id,retrieval_s,rank1_pipeline_s,top3_early_stop_pipeline_s,gicp_calls,rank1_quality,selected_quality
1474,0.018701344961300492,0.32442391896620393,0.32448876393027604,1,0.6194107316642775,0.6194107316642775
1494,0.042762798024341464,0.47020412399433553,1.3004214139655232,3,0.5948570088093184,0.5572376962224925
1514,0.03795609204098582,0.3842359809204936,1.264064455870539,3,0.5386884327675227,0.5409888596296786
1534,0.049048030050471425,0.38144428515806794,1.2901815611403435,3,0.569674061575048,0.5684121077281394
1554,0.028049167012795806,0.45396487112157047,1.1607809390407056,3,0.5922906902092849,0.571350027288886
1574,0.03945559682324529,0.3563629819545895,0.994987967889756,3,0.5991857289660284,0.5979500142320091
1595,0.02450194302946329,0.32149580493569374,1.2946464740671217,3,0.6068929442686437,0.5892969778205744
1615,0.026905694045126438,0.3533488670364022,0.35340275219641626,1,0.6240898021753423,0.6240898021753423
1635,0.020204973174259067,0.31962237297557294,0.9620589481201023,3,0.5768933372768316,0.5800148179891375
1655,0.05206808517687023,0.34767518122680485,0.34772463818080723,1,0.6143511195789109,0.6143511195789109
1675,0.0303470550570637,0.43286400218494236,0.43291215412318707,1,0.6129761637936916,0.6129761637936916
1696,0.03465464920736849,0.4014634811319411,0.4015354940202087,1,0.6429760712955073,0.6429760712955073
1716,0.031959514832124114,0.3467050378676504,0.3467640979215503,1,0.6446890753246043,0.6446890753246043
1736,0.03554400592111051,0.35058747394941747,1.0693814230617136,3,0.6040094415795508,0.5282983519721044
1756,0.03712461004033685,0.33066744916141033,0.9779705100227147,3,0.5859558746855753,0.5809517842983537
1776,0.033532024128362536,0.37615606002509594,0.3762218269985169,1,0.6170708129492645,0.6170708129492645
1797,0.03849852900020778,0.3556059589609504,0.3556581500452012,1,0.6641743124903343,0.6641743124903343
1817,0.03553507989272475,0.3711430109106004,0.8872179170139134,2,0.5972180419961124,0.6491502647270266
1837,0.0354583899024874,0.3239934949669987,0.9236120020505041,3,0.5723756872325393,0.5385635975819661
1857,0.035686243791133165,0.4117320738732815,1.0697869509458542,3,0.1779027481442007,0.1875128405919144
1877,0.03497150004841387,0.3414105549454689,1.0342251569963992,3,0.1513455329004911,0.1600111826933198
1898,0.02384158782660961,0.34642928885295987,1.2168894668575376,3,0.2959010394850146,0.2312071035975566
1918,0.03461942193098366,0.36731292493641376,1.0140248390380293,3,0.3271431450157298,0.3336472550536628
1938,0.025947818998247385,0.40619934909045696,1.1052273421082646,3,0.2971776228813194,0.3050675678379393
1958,0.023417724994942546,0.3630834179930389,0.746367541141808,2,0.607723500911158,0.6110413539586033
1978,0.0352837760001421,0.36324954591691494,0.9734515799209476,3,0.6073632622848607,0.6082732595132124
1999,0.03092160914093256,0.345189506188035,1.0036755891051143,3,0.601013818667262,0.6042570563330352
