diagnostic_type,query_keyframe_id,valid_overlap_query,candidate_available,sc_rank1_label,s1,s2,s3,margin12,margin13,top5_score_mean,top5_score_std,rank1_rank2_ratio,margin_threshold,tp,fp,fn,tn,tpr,fpr,precision,recall
per_query,97.0,True,True,SC Rank-1 correct,0.87275195,0.87089866,0.8704526,0.0018532872,0.0022993684,0.8699029,0.002016663,1.002128,,,,,,,,,
per_query,98.0,True,True,SC Rank-1 correct,0.89550215,0.89396435,0.8932535,0.0015377998,0.0022486448,0.8933567,0.0014497906,1.0017202,,,,,,,,,
per_query,99.0,True,True,SC Rank-1 correct,0.88099897,0.87540245,0.8737177,0.0055965185,0.007281244,0.87458324,0.0035720603,1.0063931,,,,,,,,,
per_query,100.0,True,True,SC Rank-1 correct,0.8711389,0.87038183,0.8694404,0.0007570386,0.001698494,0.86986816,0.00077222654,1.0008698,,,,,,,,,
per_query,101.0,True,True,SC Rank-1 correct,0.87350583,0.86925083,0.8689804,0.004254997,0.004525423,0.86971396,0.0019363661,1.004895,,,,,,,,,
per_query,102.0,True,True,SC Rank-1 correct,0.8927506,0.8868836,0.8867271,0.0058670044,0.006023526,0.88664216,0.0034083917,1.0066153,,,,,,,,,
per_query,103.0,True,True,SC Rank-1 correct,0.89231557,0.8877937,0.8834642,0.004521847,0.008851349,0.8859259,0.003667949,1.0050933,,,,,,,,,
per_query,104.0,True,True,SC Rank-1 correct,0.8774286,0.8703579,0.8693741,0.00707072,0.008054495,0.8706506,0.0035783069,1.0081239,,,,,,,,,
per_query,105.0,True,True,SC Rank-1 correct,0.882275,0.8789296,0.87399536,0.0033453703,0.008279622,0.8765625,0.0034666695,1.0038062,,,,,,,,,
per_query,106.0,True,True,SC Rank-1 correct,0.8673872,0.8655798,0.8655012,0.0018073916,0.0018859506,0.86531144,0.001391261,1.0020881,,,,,,,,,
per_query,107.0,True,True,SC Rank-1 correct,0.8458678,0.8445487,0.84422773,0.0013191104,0.0016400814,0.8443526,0.0008500439,1.0015619,,,,,,,,,
per_query,108.0,True,True,SC Rank-1 correct,0.8942577,0.8925534,0.89115727,0.0017043352,0.0031004548,0.891276,0.0019738348,1.0019095,,,,,,,,,
per_query,109.0,True,True,SC Rank-1 correct,0.8694676,0.86910284,0.86683077,0.00036478043,0.0026368499,0.8670708,0.0020239598,1.0004197,,,,,,,,,
per_query,110.0,True,True,SC Rank-1 correct,0.8283225,0.8282691,0.8282132,5.340576e-05,0.00010931492,0.8281719,0.00015192303,1.0000645,,,,,,,,,
per_query,111.0,True,True,SC Rank-1 correct,0.820671,0.818894,0.8187233,0.0017769933,0.001947701,0.81854403,0.0013716592,1.00217,,,,,,,,,
per_query,112.0,True,True,SC Rank-1 correct,0.84321266,0.84242046,0.8404134,0.00079220533,0.0027992725,0.84120816,0.0013472746,1.0009404,,,,,,,,,
per_query,113.0,True,True,SC Rank-1 correct,0.8409852,0.83920723,0.8387068,0.001777947,0.0022783875,0.8386303,0.0015316603,1.0021186,,,,,,,,,
per_query,114.0,True,True,SC Rank-1 correct,0.8375578,0.8375241,0.83545345,3.3676624e-05,0.002104342,0.8349925,0.0024563235,1.0000402,,,,,,,,,
per_query,115.0,True,True,SC Rank-1 correct,0.8306583,0.8228779,0.8224804,0.0077804327,0.008177936,0.8237468,0.003554523,1.0094552,,,,,,,,,
per_query,116.0,True,True,SC Rank-1 correct,0.8014499,0.80004495,0.79921025,0.0014049411,0.0022396445,0.7990931,0.0019330552,1.0017561,,,,,,,,,
per_query,117.0,True,True,SC Rank-1 correct,0.8255122,0.82533664,0.8245728,0.00017553568,0.0009393692,0.8248577,0.00047463487,1.0002127,,,,,,,,,
per_query,118.0,True,True,SC Rank-1 correct,0.81261486,0.81104165,0.8086711,0.001573205,0.0039437413,0.8094743,0.00203381,1.0019398,,,,,,,,,
per_query,119.0,True,True,SC Rank-1 correct,0.8040602,0.7966127,0.7965944,0.0074475408,0.0074658394,0.79719925,0.0035798778,1.009349,,,,,,,,,
per_query,120.0,True,True,SC Rank-1 correct,0.8322697,0.8275386,0.827163,0.0047311187,0.005106747,0.82547915,0.0046628136,1.005717,,,,,,,,,
per_query,121.0,True,True,SC Rank-1 correct,0.90009284,0.89359176,0.8931025,0.0065010786,0.0069903135,0.89196044,0.005258309,1.0072752,,,,,,,,,
per_query,122.0,True,True,SC Rank-1 correct,0.885469,0.8695945,0.868715,0.015874505,0.016754031,0.8696262,0.008579819,1.0182551,,,,,,,,,
per_query,123.0,True,True,SC Rank-1 correct,0.8798848,0.86446404,0.8635612,0.015420735,0.016323566,0.86469257,0.008099573,1.0178385,,,,,,,,,
per_query,124.0,True,True,SC Rank-1 correct,0.8700433,0.869314,0.8584816,0.0007292628,0.011561692,0.86214733,0.0062057534,1.0008389,,,,,,,,,
per_query,125.0,True,True,SC Rank-1 correct,0.8589587,0.8383474,0.837418,0.020611346,0.021540701,0.83789647,0.011639122,1.0245857,,,,,,,,,
per_query,126.0,True,True,SC Rank-1 correct,0.80009,0.7750411,0.77001965,0.025048912,0.030070364,0.77652633,0.012021106,1.0323194,,,,,,,,,
per_query,127.0,True,True,SC Rank-1 correct,0.76336616,0.7626797,0.76024884,0.0006864667,0.003117323,0.7581905,0.0052386597,1.0009,,,,,,,,,
per_query,128.0,True,True,SC Rank-1 correct,0.78359294,0.7556746,0.7443794,0.027918339,0.03921354,0.751623,0.017742839,1.0369449,,,,,,,,,
per_query,129.0,True,True,SC Rank-1 correct,0.74214137,0.7343146,0.7332424,0.0078267455,0.008898973,0.7337734,0.0046033775,1.0106586,,,,,,,,,
per_query,130.0,True,True,SC Rank-1 correct,0.7817,0.77129626,0.77064794,0.010403752,0.011052072,0.77261794,0.0045989007,1.0134887,,,,,,,,,
per_query,131.0,True,True,SC Rank-1 correct,0.85577637,0.8534546,0.8509245,0.0023217797,0.0048518777,0.852311,0.0020251963,1.0027205,,,,,,,,,
per_query,132.0,True,True,SC Rank-1 correct,0.8177956,0.786666,0.7865579,0.031129599,0.031237662,0.792452,0.012680274,1.0395715,,,,,,,,,
per_query,133.0,True,True,SC Rank-1 correct,0.81146115,0.80886674,0.80700135,0.0025944114,0.0044597983,0.8077198,0.0022301443,1.0032074,,,,,,,,,
per_query,134.0,True,True,SC Rank-1 correct,0.8005391,0.80034053,0.79920626,0.00019854307,0.0013328195,0.7993348,0.0009763927,1.0002481,,,,,,,,,
per_query,135.0,True,True,SC Rank-1 correct,0.7393185,0.7341993,0.7299746,0.0051192045,0.0093438625,0.7321349,0.0041449126,1.0069726,,,,,,,,,
per_query,136.0,True,True,SC Rank-1 correct,0.809163,0.7790156,0.7767126,0.030147374,0.032450378,0.7833651,0.01295166,1.0386993,,,,,,,,,
per_query,137.0,True,True,SC Rank-1 correct,0.7865491,0.78524786,0.7814682,0.001301229,0.0050808787,0.78191316,0.0035048237,1.0016571,,,,,,,,,
per_query,138.0,True,True,SC Rank-1 correct,0.7936538,0.79264194,0.7925337,0.0010118484,0.0011200905,0.79259807,0.0005794435,1.0012765,,,,,,,,,
per_query,139.0,True,True,SC Rank-1 correct,0.8214744,0.8203724,0.8201981,0.0011019707,0.0012762547,0.8194979,0.001524603,1.0013433,,,,,,,,,
per_query,140.0,True,True,SC Rank-1 correct,0.82723796,0.82622063,0.82598114,0.0010173321,0.0012568235,0.8259877,0.000736208,1.0012313,,,,,,,,,
per_query,141.0,True,True,SC Rank-1 correct,0.8293884,0.8257567,0.8234059,0.0036316514,0.0059824586,0.82439244,0.0029145302,1.004398,,,,,,,,,
per_query,142.0,True,True,SC Rank-1 correct,0.84279156,0.8426673,0.8411441,0.00012427568,0.0016474724,0.841152,0.0015277786,1.0001475,,,,,,,,,
per_query,143.0,True,True,SC Rank-1 correct,0.83815646,0.83522224,0.8346266,0.0029342175,0.0035298467,0.83472264,0.002117831,1.0035131,,,,,,,,,
per_query,144.0,True,True,SC Rank-1 correct,0.8317776,0.8289591,0.8282533,0.0028184652,0.0035242438,0.82882756,0.0015640071,1.0034,,,,,,,,,
per_query,145.0,True,True,SC Rank-1 correct,0.83239734,0.83231956,0.8318819,7.778406e-05,0.00051546097,0.83173025,0.00064566906,1.0000935,,,,,,,,,
per_query,146.0,True,True,SC Rank-1 correct,0.83755887,0.8369593,0.8320396,0.0005995631,0.005519271,0.8328279,0.004009161,1.0007163,,,,,,,,,
per_query,147.0,True,True,SC Rank-1 correct,0.83329314,0.8315536,0.83143425,0.0017395616,0.00185889,0.83161384,0.0008842822,1.0020919,,,,,,,,,
