row_type,query_keyframe_id,valid_overlap_query,sc_rank1_correct,best_shift,raw_shift_deg,sc_yaw_proxy_deg,gt_heading_deg,absolute_error_deg,cohort,count,mae_deg,median_ae_deg,p90_ae_deg,pearson,spearman,proxy_gate_pass
per_query,72.0,True,True,0.0,0.0,0.0,0.005467558900647873,0.005467558900647873,,,,,,,,
per_query,73.0,True,True,0.0,0.0,0.0,1.5105649140423338e-06,1.5105649140423338e-06,,,,,,,,
per_query,74.0,True,True,0.0,0.0,0.0,0.011119136305126176,0.011119136305126176,,,,,,,,
per_query,75.0,True,True,0.0,0.0,0.0,0.0012445116344679263,0.0012445116344679263,,,,,,,,
per_query,76.0,True,True,0.0,0.0,0.0,0.004632410662850361,0.004632410662850361,,,,,,,,
per_query,77.0,True,True,0.0,0.0,0.0,0.004620160533761464,0.004620160533761464,,,,,,,,
per_query,78.0,True,True,0.0,0.0,0.0,0.003835480153526305,0.003835480153526305,,,,,,,,
per_query,79.0,True,True,0.0,0.0,0.0,0.0030312654799047323,0.0030312654799047323,,,,,,,,
per_query,80.0,True,True,0.0,0.0,0.0,0.00727899471982596,0.00727899471982596,,,,,,,,
per_query,81.0,True,True,0.0,0.0,0.0,0.005079823409403161,0.005079823409403161,,,,,,,,
per_query,82.0,True,True,0.0,0.0,0.0,0.00657217220543771,0.00657217220543771,,,,,,,,
per_query,83.0,True,True,0.0,0.0,0.0,0.003001597101558673,0.003001597101558673,,,,,,,,
per_query,84.0,True,True,0.0,0.0,0.0,0.0021888682919950497,0.0021888682919950497,,,,,,,,
per_query,85.0,True,True,0.0,0.0,0.0,0.002518259810130985,0.002518259810130985,,,,,,,,
per_query,86.0,True,True,0.0,0.0,0.0,0.008324144065596784,0.008324144065596784,,,,,,,,
per_query,87.0,True,True,0.0,0.0,0.0,0.00019004966162583514,0.00019004966162583514,,,,,,,,
per_query,88.0,True,True,0.0,0.0,0.0,0.00489243301484521,0.00489243301484521,,,,,,,,
per_query,89.0,True,True,0.0,0.0,0.0,0.0050277690094446825,0.0050277690094446825,,,,,,,,
per_query,90.0,True,True,0.0,0.0,0.0,0.010463677251976833,0.010463677251976833,,,,,,,,
per_query,91.0,True,True,0.0,0.0,0.0,0.003977392410547509,0.003977392410547509,,,,,,,,
per_query,92.0,True,True,0.0,0.0,0.0,0.0005028257395736091,0.0005028257395736091,,,,,,,,
per_query,93.0,True,True,0.0,0.0,0.0,0.0018103075251474365,0.0018103075251474365,,,,,,,,
per_query,94.0,True,True,0.0,0.0,0.0,0.003299166869453529,0.003299166869453529,,,,,,,,
per_query,95.0,True,True,0.0,0.0,0.0,0.011052717835099202,0.011052717835099202,,,,,,,,
per_query,96.0,True,True,0.0,0.0,0.0,0.011048840470721188,0.011048840470721188,,,,,,,,
per_query,97.0,True,True,0.0,0.0,0.0,0.007373247713076125,0.007373247713076125,,,,,,,,
per_query,98.0,True,True,0.0,0.0,0.0,0.004434282938660772,0.004434282938660772,,,,,,,,
per_query,99.0,True,True,0.0,0.0,0.0,9.092680841149559e-06,9.092680841149559e-06,,,,,,,,
per_query,100.0,True,True,0.0,0.0,0.0,0.0060145127447981395,0.0060145127447981395,,,,,,,,
per_query,101.0,True,True,0.0,0.0,0.0,0.0055239037828016535,0.0055239037828016535,,,,,,,,
per_query,102.0,True,True,0.0,0.0,0.0,0.0004004926742027237,0.0004004926742027237,,,,,,,,
per_query,103.0,True,True,0.0,0.0,0.0,0.010698272912776474,0.010698272912776474,,,,,,,,
per_query,104.0,True,True,0.0,0.0,0.0,0.01252937408702337,0.01252937408702337,,,,,,,,
per_query,105.0,True,True,0.0,0.0,0.0,0.006827078674035647,0.006827078674035647,,,,,,,,
per_query,106.0,True,True,0.0,0.0,0.0,0.005510762534669311,0.005510762534669311,,,,,,,,
per_query,107.0,True,True,0.0,0.0,0.0,0.00014736790407710032,0.00014736790407710032,,,,,,,,
per_query,108.0,True,True,0.0,0.0,0.0,0.0027351176155718804,0.0027351176155718804,,,,,,,,
per_query,109.0,True,True,0.0,0.0,0.0,0.01481121810326158,0.01481121810326158,,,,,,,,
per_query,110.0,True,True,0.0,0.0,0.0,0.012975195595998912,0.012975195595998912,,,,,,,,
per_query,111.0,True,True,0.0,0.0,0.0,9.811826240024857e-05,9.811826240024857e-05,,,,,,,,
per_query,112.0,True,True,0.0,0.0,0.0,0.2985231540443465,0.2985231540443465,,,,,,,,
